[2025-06-30 15:25:35,539] root - INFO - Exited the run_pipeline method of PredictionPipeline class
[2025-06-30 15:25:39,893] root - INFO - Entered the run_pipeline method of PredictionPipeline class
[2025-06-30 15:25:39,893] root - INFO - Entered the get_model_from_gcloud method of PredictionPipeline class
[2025-06-30 15:25:39,894] root - INFO - Exited the get_model_from_gcloud method of PredictionPipeline class
[2025-06-30 15:25:39,894] root - INFO - Running the predict function
[2025-06-30 15:25:39,894] root - INFO - Entered the get_model_from_gcloud method of PredictionPipeline class
[2025-06-30 15:25:39,959] root - INFO - Exited the get_model_from_gcloud method of PredictionPipeline class
[2025-06-30 15:25:40,429] root - INFO - Entered into the concat_data_cleaning function
[2025-06-30 15:25:40,430] root - INFO - Exited the concat_data_cleaning function
[2025-06-30 15:25:40,936] root - INFO - Exited the run_pipeline method of PredictionPipeline class
[2025-06-30 15:25:51,184] root - INFO - Entered the run_pipeline method of PredictionPipeline class
[2025-06-30 15:25:51,184] root - INFO - Entered the get_model_from_gcloud method of PredictionPipeline class
[2025-06-30 15:25:51,185] root - INFO - Exited the get_model_from_gcloud method of PredictionPipeline class
[2025-06-30 15:25:51,185] root - INFO - Running the predict function
[2025-06-30 15:25:51,185] root - INFO - Entered the get_model_from_gcloud method of PredictionPipeline class
[2025-06-30 15:25:51,185] root - INFO - Exited the get_model_from_gcloud method of PredictionPipeline class
[2025-06-30 15:25:51,707] root - INFO - Entered into the concat_data_cleaning function
[2025-06-30 15:25:51,709] root - INFO - Exited the concat_data_cleaning function
[2025-06-30 15:25:52,138] root - INFO - Exited the run_pipeline method of PredictionPipeline class
